month,revenue,marketing_spend,operating_expenses,new_customers,total_customers,date,CAC,ARPU,lost_customers,churn_rate,average_lifespan,LTV,burn_rate,runway_months,LTV_CAC_ratio
2000-01-01,12612,2722,10496,154,154,Jan-2000,17.675324675324674,81.8961038961039,0.0,0.0,0.0,0.0,606,165.0,0.0
2000-02-01,25787,5389,13962,100,231,Feb-2000,53.89,111.63203463203463,23.0,0.14935064935064934,6.695652173913044,747.4492753623189,-6436,0.0,13.87
2000-03-01,27159,4079,13299,124,331,Mar-2000,32.895161290322584,82.05135951661632,24.0,0.1038961038961039,9.625,789.7443353474321,-9781,0.0,24.01
2000-04-01,22206,4717,17917,59,364,Apr-2000,79.94915254237289,61.005494505494504,26.0,0.07854984894259819,12.730769230769232,776.6468723584109,428,233.6,9.71
2000-05-01,18226,4332,15574,191,541,May-2000,22.680628272251308,33.689463955637706,14.0,0.038461538461538464,26.0,875.9260628465804,1680,59.5,38.62
2000-06-01,24541,5376,9689,100,611,Jun-2000,53.76,40.16530278232406,30.0,0.05545286506469501,18.03333333333333,724.3142935079105,-9476,0.0,13.47
2000-07-01,13152,6524,11267,167,768,Jul-2000,39.06586826347306,17.125,10.0,0.016366612111292964,61.099999999999994,1046.3374999999999,4639,21.6,26.78
2000-08-01,11585,3500,12406,170,919,Aug-2000,20.58823529411765,12.606093579978237,19.0,0.024739583333333332,40.42105263157895,509.55157207490987,4321,23.1,24.75
2000-09-01,13943,2285,16453,88,997,Sep-2000,25.96590909090909,13.984954864593782,10.0,0.01088139281828074,91.89999999999999,1285.2173520561685,4795,20.9,49.5
2000-10-01,29457,5495,9442,77,1059,Oct-2000,71.36363636363636,27.81586402266289,15.0,0.015045135406218655,66.46666666666667,1848.8277620396602,-14520,0.0,25.91
2000-11-01,11021,4065,16597,52,1091,Nov-2000,78.17307692307692,10.101741521539871,20.0,0.018885741265344664,52.95,534.8872135655362,9641,10.4,6.84
2000-12-01,21653,2768,18382,133,1198,Dec-2000,20.81203007518797,18.074290484140235,26.0,0.02383134738771769,41.96153846153846,758.425035315269,-503,0.0,36.44
2001-01-01,20805,5057,12437,166,1340,Jan-2001,30.46385542168675,15.526119402985074,24.0,0.02003338898163606,49.916666666666664,775.0121268656716,-3311,0.0,25.44
2001-02-01,23417,6289,13435,51,1377,Feb-2001,123.31372549019608,17.005809731299927,14.0,0.010447761194029851,95.71428571428571,1627.6989314244215,-3693,0.0,13.2
2001-03-01,17989,4161,16435,142,1502,Mar-2001,29.302816901408452,11.97669773635153,17.0,0.012345679012345678,81.0,970.112516644474,2607,38.4,33.11
2001-04-01,19692,5293,12107,180,1657,Apr-2001,29.405555555555555,11.884127942063971,25.0,0.016644474034620507,60.08,713.9984067592034,-2292,0.0,24.28
2001-05-01,22990,2946,8560,193,1830,May-2001,15.264248704663212,12.562841530054644,20.0,0.012070006035003017,82.85000000000001,1040.8314207650274,-11484,0.0,68.19
2001-06-01,16873,6926,18917,143,1957,Jun-2001,48.43356643356643,8.621870209504344,16.0,0.008743169398907104,114.375,986.1264052120594,8970,11.1,20.36
2001-07-01,15675,5335,16785,89,2034,Jul-2001,59.943820224719104,7.706489675516224,12.0,0.0061318344404701075,163.08333333333331,1256.800024582104,6445,15.5,20.97
2001-08-01,10161,6150,13548,51,2069,Aug-2001,120.58823529411765,4.911068148864185,16.0,0.007866273352999017,127.12499999999999,624.3195384243595,9537,10.5,5.18
2001-09-01,14297,6895,9826,130,2181,Sep-2001,53.03846153846154,6.555249885373682,18.0,0.008699855002416627,114.94444444444443,753.4895562687859,2424,41.3,14.21
2001-10-01,10995,6873,19421,61,2227,Oct-2001,112.67213114754098,4.9371351594072745,15.0,0.0068775790921595595,145.4,717.8594521778177,15299,6.5,6.37
2001-11-01,21534,3481,19479,114,2312,Nov-2001,30.535087719298247,9.31401384083045,29.0,0.013022002694207453,76.79310344827587,715.252028397566,1426,70.1,23.42
2001-12-01,17629,3901,15629,104,2391,Dec-2001,37.50961538461539,7.373065662902551,25.0,0.010813148788927335,92.48,681.861112505228,1901,52.6,18.18
2002-01-01,11016,5451,16325,94,2470,Jan-2002,57.98936170212766,4.459919028340081,15.0,0.006273525721455458,159.4,710.9110931174089,10760,9.3,12.26
2002-02-01,18529,6064,11138,150,2601,Feb-2002,40.42666666666667,7.123798539023452,19.0,0.007692307692307693,130.0,926.0938100730488,-1327,0.0,22.91
2002-03-01,27262,2054,15693,111,2692,Mar-2002,18.504504504504503,10.12704309063893,20.0,0.007689350249903883,130.04999999999998,1317.0219539375926,-9515,0.0,71.17
2002-04-01,19268,3823,16264,98,2766,Apr-2002,39.01020408163265,6.966015907447578,24.0,0.008915304606240713,112.16666666666667,781.35478428537,819,122.1,20.03
2002-05-01,22185,5462,15842,176,2930,May-2002,31.03409090909091,7.571672354948806,12.0,0.004338394793926247,230.5,1745.2704778156997,-881,0.0,56.24
2002-06-01,16331,5079,14721,72,2988,Jun-2002,70.54166666666667,5.465528781793842,14.0,0.00477815699658703,209.2857142857143,1143.8570950468543,3469,28.8,16.22
2002-07-01,18571,2832,15002,87,3062,Jul-2002,32.55172413793103,6.064990202482038,13.0,0.004350736278447122,229.84615384615384,1394.0146711551022,-737,0.0,42.82
2002-08-01,17208,6408,12225,77,3120,Aug-2002,83.22077922077922,5.515384615384615,19.0,0.0062050947093403004,161.1578947368421,888.8477732793523,1425,70.2,10.68
2002-09-01,15276,4806,10978,70,3170,Sep-2002,68.65714285714286,4.818927444794952,20.0,0.00641025641025641,156.0,751.7526813880125,508,196.9,10.95
2002-10-01,28446,4490,15373,156,3298,Oct-2002,28.78205128205128,8.62522741055185,28.0,0.008832807570977918,113.21428571428572,976.4989604089059,-8583,0.0,33.93
2002-11-01,26448,2327,13907,195,3463,Nov-2002,11.933333333333334,7.637308691885648,30.0,0.009096422073984234,109.93333333333332,839.5948021946289,-10214,0.0,70.36
2002-12-01,26216,5310,14097,148,3586,Dec-2002,35.87837837837838,7.310652537646403,25.0,0.007219174126479931,138.52,1012.6715895147798,-6809,0.0,28.23
2003-01-01,18006,5300,13656,168,3736,Jan-2003,31.547619047619047,4.819593147751606,18.0,0.0050195203569436695,199.22222222222223,960.1700571020699,950,105.3,30.44
2003-02-01,12568,5675,18177,122,3834,Feb-2003,46.51639344262295,3.278038601982264,24.0,0.006423982869379015,155.66666666666666,510.2813423752391,11284,8.9,10.97
2003-03-01,12027,5054,16984,171,3994,Mar-2003,29.555555555555557,3.0112669003505257,11.0,0.0028690662493479394,348.54545454545456,1049.563390540356,10011,10.0,35.51
2003-04-01,12695,4143,12259,79,4049,Apr-2003,52.44303797468354,3.135342059767844,24.0,0.006009013520280421,166.41666666666666,521.7731744463654,3707,27.0,9.95
2003-05-01,25422,3311,16286,157,4188,May-2003,21.089171974522294,6.070200573065903,18.0,0.004445542109162756,224.94444444444443,1365.4578955746576,-5825,0.0,64.75
2003-06-01,15258,5191,13901,147,4319,Jun-2003,35.31292517006803,3.5327622134753414,16.0,0.0038204393505253103,261.75,924.7005093771706,3834,26.1,26.19
2003-07-01,16736,4538,17325,81,4384,Jul-2003,56.02469135802469,3.8175182481751824,16.0,0.0037045612410280156,269.9375,1030.4913321167883,5127,19.5,18.39
